comment_id,parent_id,article_id,article_type,category_id,site_id,content,full_name,creation_time,isliked,reply_commentid,time,userlike,total_like,total_reply,like_ismember,reply_author,userid,type,title,is_pin,status,rating,url,subs
48076303,48072394,4535124,1,1004528,1000000,Thức thời - lo cho mình trước đã xã hội nhà nước lo,Thái Phạm,1668331091,1,48075298,16:18 13/11,5,5,0,False,Độc giả Anh Vũ giấu tên mạnh dạn phát biểu,1061945344,8,'Nghĩ cách kiếm tiền thay vì ngồi chờ giá nhà đất giảm',0,1,{},https://vnexpress.net/bai-viet-4535124.html,[]
48053674,0,4534597,1,1005483,1002565,"Ronaldo - CR7 là một cầu thủ tuyệt vời hoàn hảo, tôi công nhận điều đó nhưng với phong độ + thái độ + trình độ của anh ở thời điểm này thì anh không xứng đáng có mặt tại WC năm nay - ý kiến riêng của tôi",Thái Phạm,1668155026,1,0,15:23 11/11,6,6,0,False,,1061945344,8,HLV Bồ Đào Nha bênh vực Ronaldo - VnExpress Thể thao,0,1,{},https://vnexpress.net/hlv-bo-dao-nha-benh-vuc-ronaldo-4534597.html,[]
48053599,48045942,4534597,1,1005483,1002565,Khổ quá đợi bóng lăn đã,Thái Phạm,1668154756,1,48048516,15:19 11/11,10,10,0,False,Robinson - codontrenhoangdao,1061945344,8,HLV Bồ Đào Nha bênh vực Ronaldo - VnExpress Thể thao,0,1,{},https://vnexpress.net/hlv-bo-dao-nha-benh-vuc-ronaldo-4534597.html,[]
48033268,48031691,4534147,1,1005483,1002565,"Camavinga và tchoymendy mà yếu à, chỉ là thiếu kinh nghiệm thi đấu quốc tế",Thái Phạm,1668046099,1,0,09:08 10/11,12,12,0,False,,1061945344,8,Pháp mang 25 cầu thủ đi dự World Cup 2022 - VnExpress Thể thao,0,1,{},https://vnexpress.net/phap-mang-25-cau-thu-di-du-world-cup-2022-4534147.html,[]
47756969,46622687,4496272,1,1004529,1000000,"Có khí phách, khi xưa mình bé cha mẹ nuôi mình như nào sau này mình cứ làm y vậy =&gt; comment hay nhất bài",Thái Phạm,1666323466,1,0,10:37 21/10,0,0,0,False,,1061945344,8,Viễn cảnh 'bốn thanh niên chăm bốn người già' - VnExpress,0,1,{},https://vnexpress.net/vien-canh-bon-thanh-nien-cham-bon-nguoi-gia-4496272.html,[]
47700442,47682658,4523815,1,1001014,1000000,Bạn chỉ được cái nói đúng,Thái Phạm,1666006451,1,0,18:34 17/10,0,0,0,False,,1061945344,8,Có nhẫn tâm khi tôi dứt khoát chia tay bạn gái,0,2,{},https://vnexpress.net/bai-viet-4523815.html,[]
47699274,47565560,4520285,1,1001014,1000000,Sướng quá nha chú,Thái Phạm,1666000622,1,0,16:57 17/10,0,0,0,False,,1061945344,8,Vợ và con trai phủ nhận mọi đóng góp của tôi cho gia đình,0,1,{},https://vnexpress.net/bai-viet-4520285.html,[]
47692487,47689966,4524180,1,1004620,1002592,Chúng ta cùng chung chí hướng,Thái Phạm,1665975312,1,0,09:55 17/10,0,0,0,False,,1061945344,1,Người Việt chi nghìn tỷ đồng mua iPhone 14 ngày mở bán - VnExpress Số hóa,0,2,{},https://vnexpress.net/nguoi-viet-chi-nghin-ty-dong-mua-iphone-14-ngay-mo-ban-4524180.html,[]
47692317,47688849,4524180,1,1004620,1002592,"Bạn nói kiểu gì chứ tôi xài Iphone6 vẫn chạy ầm ầm, chưa đặt grab bao giờ nhưng mà đặt dc giao đồ ăn mà",Thái Phạm,1665974815,1,47689623,09:46 17/10,1,1,0,False,Thăng Nguyễn,1061945344,1,Người Việt chi nghìn tỷ đồng mua iPhone 14 ngày mở bán - VnExpress Số hóa,0,1,{},https://vnexpress.net/nguoi-viet-chi-nghin-ty-dong-mua-iphone-14-ngay-mo-ban-4524180.html,[]
47692655,47690538,4524180,1,1004620,1002592,"Công nhân với dân văn phòng cũng cùng là làm thuê thôi, chỉ khác cái tư thế làm việc",Thái Phạm,1665975883,1,0,10:04 17/10,0,0,0,False,,1061945344,1,Người Việt chi nghìn tỷ đồng mua iPhone 14 ngày mở bán - VnExpress Số hóa,0,1,{},https://vnexpress.net/nguoi-viet-chi-nghin-ty-dong-mua-iphone-14-ngay-mo-ban-4524180.html,[]
